,group,variable,value,color,text,cnp,mobile_text
47,Capitale-Nationale,  2147 Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2147,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel)
48,Capitale-Nationale,  2171 Analystes et consultants en informatique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2171,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les analystes et consultants en informatique
49,Capitale-Nationale,  2172 Analystes de bases de données et administrateurs de données,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2172,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les analystes de bases de données et administrateurs de données
50,Capitale-Nationale,  2173 Ingénieurs et concepteurs en logiciel,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2173,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les ingénieurs et concepteurs en logiciel
51,Capitale-Nationale,  2174 Programmeurs et développeurs en médias interactifs,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2174,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les programmeurs et développeurs en médias interactifs
52,Capitale-Nationale,  2175 Concepteurs et développeurs Web,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2175,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les concepteurs et développeurs web.
53,Capitale-Nationale,  2241 Technologues et techniciens en génie électronique et électrique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2241,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les technologues et techniciens en génie électronique et électrique
54,Capitale-Nationale,  2281 Techniciens de réseau informatique,100,Red,Un déficit de main-d'oeuvre est prévu <br>dans la région pour cette profession,2281,Un déficit de main-d'oeuvre est prévu <br>dans la région pour les techniciens de réseau informatique
55,Capitale-Nationale,  2282 Agents de soutien aux utilisateurs,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2282,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les agents de soutien aux utilisateurs.
56,Capitale-Nationale,  2283 Évaluateurs de systèmes informatiques,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,2283,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les évaluateurs de systèmes informatiques.
57,Capitale-Nationale,"  5121 Auteurs, rédacteurs et écrivains",0,LightGray,Cette profession n'a pas été <br>l'objet d'un diagnostic dans la région,5121,"Les auteurs, rédacteurs et écrivains n'ont pas été <br>l'objet d'un diagnostic dans la région."
58,Capitale-Nationale,  5223 Techniciens en graphisme,66,LimeGreen,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour cette profession.,5223,Un équilibre de main-d'oeuvre est prévu <br>dans la région pour les techniciens en graphisme.
